Cycle,Cycle_squared,Cycle_sqrt,Current_A,Voltage_V,Temperature_C,Voltage_Current,Temp_Current
6,36,2.449489742783178,1.071,3.777,32.25,4.045167,34.53975
9,81,3.0,0.996,3.664,22.64,3.649344,22.54944
9,81,3.0,1.005,3.79,25.06,3.80895,25.185299999999994
15,225,3.872983346207417,1.06,3.721,25.29,3.9442600000000003,26.8074
19,361,4.358898943540674,1.148,3.727,23.27,4.278595999999999,26.713959999999997
22,484,4.69041575982343,1.131,3.934,26.32,4.4493540000000005,29.76792
36,1296,6.0,1.117,3.685,23.69,4.116145,26.461730000000003
42,1764,6.48074069840786,0.891,3.677,26.36,3.2762070000000003,23.48676
44,1936,6.6332495807108,0.915,3.654,26.43,3.34341,24.18345
44,1936,6.6332495807108,1.21,3.677,25.47,4.44917,30.818699999999996
49,2401,7.0,0.986,3.755,23.44,3.7024299999999997,23.11184
55,3025,7.416198487095663,0.844,3.543,24.59,2.990292,20.75396
73,5329,8.54400374531753,1.266,3.619,24.13,4.581654,30.548579999999998
89,7921,9.433981132056603,1.392,3.705,26.3,5.15736,36.6096
92,8464,9.591663046625438,0.98,3.634,24.22,3.56132,23.735599999999998
93,8649,9.643650760992955,0.915,3.73,17.79,3.41295,16.27785
95,9025,9.746794344808963,1.29,3.736,25.95,4.81944,33.4755
96,9216,9.797958971132712,1.081,3.718,24.14,4.019158,26.09534
112,12544,10.583005244258363,0.923,3.561,19.73,3.286803,18.210790000000003
114,12996,10.677078252031311,1.238,3.776,28.53,4.674688,35.32014
126,15876,11.224972160321824,0.838,3.672,30.01,3.077136,25.14838
134,17956,11.575836902790225,1.027,3.576,28.47,3.6725519999999996,29.238689999999995
139,19321,11.789826122551595,1.199,3.698,23.98,4.433902,28.75202
154,23716,12.409673645990857,0.935,3.77,25.84,3.52495,24.160400000000003
159,25281,12.609520212918492,0.58,3.621,29.46,2.10018,17.0868
160,25600,12.649110640673518,1.184,3.761,26.23,4.453024,31.05632
161,25921,12.68857754044952,1.419,3.625,28.05,5.143875,39.80295
167,27889,12.922847983320086,0.931,3.795,26.65,3.533145,24.81115
168,28224,12.96148139681572,0.683,3.721,28.21,2.541443,19.26743
172,29584,13.114877048604,0.914,3.71,28.35,3.39094,25.911900000000003
176,30976,13.2664991614216,1.322,3.727,29.71,4.927094,39.27662
189,35721,13.74772708486752,1.024,3.631,24.68,3.7181439999999997,25.27232
200,40000,14.142135623730951,1.2,3.559,28.04,4.2708,33.647999999999996
207,42849,14.38749456993816,0.54,3.718,26.24,2.00772,14.1696
211,44521,14.52583904633395,0.817,3.654,21.15,2.985318,17.279549999999997
222,49284,14.89966442575134,1.079,3.714,27.74,4.007406,29.931459999999998
230,52900,15.165750888103101,0.888,3.697,26.73,3.2829360000000003,23.736240000000002
239,57121,15.459624833740307,0.865,3.779,26.63,3.2688349999999997,23.03495
241,58081,15.524174696260024,1.082,3.555,24.28,3.8465100000000003,26.270960000000002
244,59536,15.620499351813308,0.877,3.531,30.36,3.096687,26.62572
268,71824,16.3707055437449,0.788,3.754,29.31,2.958152,23.09628
268,71824,16.3707055437449,1.104,3.564,31.07,3.9346560000000004,34.301280000000006
274,75076,16.55294535724685,0.901,3.687,32.07,3.321987,28.89507
295,87025,17.175564037317667,1.051,3.611,28.68,3.795161,30.14268
297,88209,17.233687939614086,0.36,3.66,28.08,1.3176,10.108799999999999
297,88209,17.233687939614086,0.817,3.81,30.9,3.11277,25.245299999999997
311,96721,17.635192088548397,1.193,3.703,28.64,4.417679,34.16752
314,98596,17.72004514666935,0.963,3.615,25.67,3.481245,24.72021
321,103041,17.916472867168917,0.894,3.772,33.94,3.372168,30.34236
330,108900,18.16590212458495,1.108,3.829,25.4,4.242532000000001,28.1432
331,109561,18.193405398660254,0.962,3.678,32.81,3.538236,31.56322
333,110889,18.24828759089466,1.145,3.809,26.6,4.361305000000001,30.457
342,116964,18.49324200890693,1.12,3.624,22.05,4.05888,24.696
343,117649,18.520259177452136,1.038,3.599,27.89,3.7357620000000002,28.949820000000003
344,118336,18.547236990991408,0.733,3.789,24.05,2.777337,17.62865
355,126025,18.841443681416774,1.105,3.627,30.66,4.007835,33.8793
356,126736,18.867962264113206,0.942,3.753,31.91,3.535326,30.05922
358,128164,18.920887928424502,1.12,3.717,30.52,4.1630400000000005,34.1824
361,130321,19.0,0.967,3.691,30.41,3.569197,29.40647
365,133225,19.1049731745428,1.282,3.635,25.45,4.66007,32.6269
374,139876,19.339079605813716,0.93,3.772,32.59,3.50796,30.308700000000005
