Cell_ID,Cycle,Discharge_Capacity_mAh,Current_A,Voltage_V,Temperature_C
cell_001,6,1731.5008981480098,1.071,3.777,32.25
cell_001,9,1769.270456198103,0.996,3.664,22.64
cell_001,9,1743.349823029979,1.005,3.79,25.06
cell_001,15,1734.3933249446065,1.06,3.721,25.29
cell_001,19,1713.9571455402254,1.148,3.727,23.27
cell_001,22,1710.0157790585608,1.131,3.934,26.32
cell_001,36,1679.0946792424027,1.117,3.685,23.69
cell_001,42,1625.1051789439928,0.891,3.677,26.36
cell_001,44,1687.8588873608571,0.915,3.654,26.43
cell_001,44,1679.3472997251852,1.21,3.677,25.47
cell_001,49,1674.8449026693197,0.986,3.755,23.44
cell_001,55,1703.335751199648,0.844,3.543,24.59
cell_001,73,1706.1898273959102,1.266,3.619,24.13
cell_001,89,1604.6860300258886,1.392,3.705,26.3
cell_001,92,1617.4671213017666,0.98,3.634,24.22
cell_001,93,1647.075454888468,0.915,3.73,17.79
cell_001,95,1649.2443974825128,1.29,3.736,25.95
cell_001,96,1611.777713912234,1.081,3.718,24.14
cell_001,112,1571.39999862559,0.923,3.561,19.73
cell_001,114,1538.442442340924,1.238,3.776,28.53
cell_001,126,1549.9632099899882,0.838,3.672,30.01
cell_001,134,1576.752808540095,1.027,3.576,28.47
cell_001,139,1527.0104925478315,1.199,3.698,23.98
cell_001,154,1534.5894874541236,0.935,3.77,25.84
cell_001,159,1526.833958739847,0.58,3.621,29.46
cell_001,160,1520.8769882734948,1.184,3.761,26.23
cell_001,161,1561.8216702228328,1.419,3.625,28.05
cell_001,167,1543.4644261276324,0.931,3.795,26.65
cell_001,168,1468.6959628864272,0.683,3.721,28.21
cell_001,172,1521.1340736701768,0.914,3.71,28.35
cell_001,176,1529.7454178267833,1.322,3.727,29.71
cell_001,189,1498.843954333514,1.024,3.631,24.68
cell_001,200,1478.6469625577338,1.2,3.559,28.04
cell_001,207,1450.1577579525447,0.54,3.718,26.24
cell_001,211,1479.692439175665,0.817,3.654,21.15
cell_001,222,1404.491335581139,1.079,3.714,27.74
cell_001,230,1464.941681997227,0.888,3.697,26.73
cell_001,239,1443.468039495553,0.865,3.779,26.63
cell_001,241,1453.829615490702,1.082,3.555,24.28
cell_001,244,1392.0022685362803,0.877,3.531,30.36
cell_001,268,1412.998255015148,0.788,3.754,29.31
cell_001,268,1403.3902714136236,1.104,3.564,31.07
cell_001,274,1359.4369047845807,0.901,3.687,32.07
cell_001,295,1328.9957014788088,1.051,3.611,28.68
cell_001,297,1325.407534866762,0.36,3.66,28.08
cell_001,297,1343.0459833211098,0.817,3.81,30.9
cell_001,311,1329.7901409513559,1.193,3.703,28.64
cell_001,314,1318.631114981796,0.963,3.615,25.67
cell_001,321,1328.2007578290631,0.894,3.772,33.94
cell_001,330,1352.4200305374054,1.108,3.829,25.4
cell_001,331,1325.40862042377,0.962,3.678,32.81
cell_001,333,1315.539327188696,1.145,3.809,26.6
cell_001,342,1297.2704418806757,1.12,3.624,22.05
cell_001,343,1239.9665220462784,1.038,3.599,27.89
cell_001,344,1311.9705747076111,0.733,3.789,24.05
cell_001,355,1286.0214750739744,1.105,3.627,30.66
cell_001,356,1278.9011112512821,0.942,3.753,31.91
cell_001,358,1301.0688779875004,1.12,3.717,30.52
cell_001,361,1274.867090681076,0.967,3.691,30.41
cell_001,365,1263.4456474311082,1.282,3.635,25.45
cell_001,374,1248.9434369443843,0.93,3.772,32.59
cell_001,374,1234.123272203227,0.955,3.842,26.71
cell_001,374,1251.2845835286882,1.321,3.755,32.86
cell_001,381,1238.2367075572208,0.949,3.743,21.88
cell_001,389,1193.1658915502348,0.648,3.762,30.92
